user_id,email,first_name,last_name,signup_date,country,age,customer_segment
1,tammyrice@example.com,Diana,Smith,2023-11-25,Ecuador,50,Premium
2,hillemily@example.org,Kathleen,Cooper,2023-09-26,Ecuador,62,Basic
3,lindsay66@example.net,James,Morgan,2024-07-26,Western Sahara,63,Basic
4,davidrogers@example.org,Joseph,Patel,2024-03-11,Cayman Islands,65,Basic
5,mooreamanda@example.com,Sarah,Smith,2025-05-11,Falkland Islands (Malvinas),28,Premium
6,donald66@example.net,Jessica,Jenkins,2024-04-19,Burkina Faso,46,Standard
7,mblackburn@example.org,Michael,Ward,2025-04-09,Syrian Arab Republic,50,Standard
8,jenna81@example.net,Philip,Perez,2024-12-24,Namibia,54,Standard
9,randerson@example.org,Gary,Shaffer,2025-03-03,Serbia,63,Standard
10,monicafuentes@example.org,Jessica,Mann,2024-10-16,Andorra,22,Standard
11,glenda50@example.org,Amy,Mcmahon,2025-02-12,Slovakia (Slovak Republic),26,Premium
12,jharrington@example.org,Sandra,Whitaker,2024-04-03,American Samoa,52,Standard
13,laurawilliams@example.com,Jennifer,Daniel,2023-12-02,Burkina Faso,65,Basic
14,heatherdavis@example.org,Cynthia,Chavez,2025-05-24,Jamaica,61,Basic
15,oking@example.net,Sara,Herrera,2024-03-09,Kuwait,40,Basic
16,jennifermcgrath@example.net,Veronica,Jones,2025-06-19,Jersey,18,Standard
17,michaelmclaughlin@example.net,Stephanie,Sanchez,2024-03-19,Trinidad and Tobago,69,Standard
18,laurasalazar@example.net,Michael,Ramirez,2024-10-07,American Samoa,62,Basic
19,kelligraves@example.org,Caleb,Fisher,2024-01-04,Montenegro,53,Premium
20,lbridges@example.net,Jessica,Arnold,2025-04-23,Korea,45,Standard
21,tflores@example.org,Amber,Spencer,2025-02-25,Georgia,52,Premium
22,jonathanlopez@example.org,Gregory,Blanchard,2024-11-03,Canada,28,Premium
23,rrose@example.org,Sarah,Murphy,2023-08-21,Lebanon,47,Standard
24,deborahjohnson@example.net,Jeffrey,Garcia,2023-09-29,El Salvador,49,Basic
25,leechristian@example.org,Kristin,Burns,2024-10-20,Gambia,35,Premium
26,raven25@example.net,Melissa,Sherman,2024-10-23,Greece,49,Standard
27,debra99@example.net,Carrie,Torres,2024-11-29,Samoa,45,Basic
28,owaters@example.org,Diana,Santos,2025-03-20,Benin,61,Standard
29,hunter15@example.org,Kurt,Rowe,2024-06-11,Kazakhstan,23,Premium
30,wramirez@example.net,Danielle,Elliott,2023-11-02,Lebanon,25,Basic
31,trujillopatrick@example.org,April,Koch,2025-01-01,Faroe Islands,66,Basic
32,johnny13@example.org,David,Johnson,2024-02-12,Finland,70,Premium
33,deborah25@example.org,Antonio,Davies,2024-03-17,Russian Federation,44,Basic
34,nicolemiller@example.net,Amy,Williams,2024-08-14,United Kingdom,25,Standard
35,josephgina@example.net,Timothy,Roberts,2025-06-16,Kyrgyz Republic,52,Premium
36,morganacevedo@example.net,Kevin,Parsons,2024-12-11,Korea,21,Basic
37,sramirez@example.net,Holly,Rodriguez,2023-07-13,Trinidad and Tobago,48,Basic
38,ksmith@example.org,Thomas,Tate,2024-09-25,Macao,50,Premium
39,brianshaffer@example.com,Natalie,Morales,2024-05-23,Estonia,66,Premium
40,zrivera@example.com,Kristine,Allen,2023-11-02,Jamaica,45,Basic
41,benjamincastillo@example.net,Sarah,Rogers,2024-05-14,Greece,47,Standard
42,williambrown@example.net,Jessica,Yates,2023-11-15,Vanuatu,33,Standard
43,jenniferhunter@example.org,Katrina,Kelly,2024-08-30,Moldova,61,Premium
44,whitejessica@example.org,Jasmine,Bates,2024-10-25,Jordan,60,Premium
45,xbrown@example.org,Jennifer,Gomez,2025-04-21,Nauru,55,Premium
46,spreston@example.org,Teresa,Perez,2025-06-23,Latvia,33,Premium
47,carolynanderson@example.com,Luis,Velasquez,2024-12-17,American Samoa,20,Basic
48,chavezandrew@example.net,Michael,Kaiser,2024-06-22,Sierra Leone,41,Basic
49,rosemary@example.net,Christina,Cordova,2024-08-05,Pitcairn Islands,19,Standard
50,tonyasims@example.com,Holly,Berry,2024-11-14,Cocos (Keeling) Islands,20,Basic
51,thompsonmark@example.org,Laura,Dennis,2024-09-17,Azerbaijan,19,Basic
52,doris96@example.org,Tracy,Garrett,2023-08-22,Gibraltar,18,Premium
53,wfranklin@example.org,Martin,Nelson,2024-08-07,Bhutan,32,Premium
54,browland@example.org,Joshua,Hanson,2024-07-22,Ukraine,43,Standard
55,susanbyrd@example.net,Savannah,Shepherd,2023-12-08,Wallis and Futuna,58,Standard
56,margaret78@example.com,Holly,Terry,2024-12-15,Mongolia,27,Standard
57,tyrone77@example.net,Joseph,Wade,2024-12-27,Tonga,45,Standard
58,gregory08@example.net,Kristy,Hood,2025-01-14,United States Minor Outlying Islands,46,Basic
59,oscarbush@example.org,Daniel,Serrano,2025-03-26,United Arab Emirates,18,Premium
